x dane,f dane,f policzone
-11,208822,208822
-10.614,187815,5.21342e+09
-10.2404,168871,2.86543e+09
-9.8788,151791,1.01958e+09
-9.5289,136394,2.33445e+08
-9.1902,122518,122518
-8.8624,110015,-3.52707e+07
-8.5452,98751.8,-2.32027e+07
-8.2381,88607.9,-9.64583e+06
-7.9409,79474.2,-2.49594e+06
-7.6533,71252.3,71252.3
-7.375,63853.1,568974
-7.1056,57196.3,430799
-6.8448,51208.9,225352
-6.5925,45825.5,96976.1
-6.3483,40986.6,40986.6
-6.1119,36638.5,24433
-5.8831,32732.8,22829.5
-5.6617,29225.9,24173.9
-5.4474,26078.1,24458.4
-5.24,23253.9,23253.9
-5.0393,20720.9,21179.3
-4.845,18450.3,18854.2
-4.657,16415.7,16639.6
-4.475,14593.5,14671.2
-4.2989,12962.3,12962.3
-4.1285,11502.9,11477.3
-3.9635,10197.9,10173
-3.8038,9031.65,9016.32
-3.6493,7990.07,7984.12
-3.4998,7060.42,7060.42
-3.355,6231.25,6233.18
-3.2149,5492.22,5494.27
-3.0793,4834.05,4835.32
-2.9481,4248.35,4248.92
-2.8211,3727.61,3727.61
-2.6982,3265.03,3264.82
-2.5792,2854.52,2854.14
-2.4641,2490.59,2490.42
-2.3527,2168.31,2168.35
-2.2448,1883.25,1883.25
-2.1404,1631.42,1631.44
-2.0394,1409.26,1409.35
-1.9417,1213.54,1213.76
-1.847,1041.38,1041.44
-1.7554,890.213,890.213
-1.6668,757.708,757.733
-1.581,641.791,641.772
-1.498,540.603,540.597
-1.4176,452.478,452.413
-1.3399,375.925,375.925
-1.2646,309.614,309.584
-1.1918,252.352,252.36
-1.1213,203.077,203.087
-1.053,160.839,160.813
-0.987,124.792,124.792
-0.9231,94.1818,94.1914
-0.8612,68.3367,68.3318
-0.8013,46.6593,46.647
-0.7434,28.6186,28.6226
-0.6873,13.7433,13.7433
-0.633,1.6153,1.61163
-0.5805,-8.1357,-8.13277
-0.5297,-15.8375,-15.8289
-0.4805,-21.7795,-21.7717
-0.4328,-26.2171,-26.2171
-0.3867,-29.3753,-29.3756
-0.3421,-31.452,-31.4517
-0.299,-32.6207,-32.6191
-0.2572,-33.0335,-33.0333
-0.2167,-32.8234,-32.8234
-0.1776,-32.1062,-32.1072
-0.1397,-30.9827,-30.9834
-0.1031,-29.54,-29.5436
-0.0676,-27.8537,-27.8569
-0.0332,-25.9885,-25.9885
0,-24,-24.0021
0.0474,-20.9174,-20.9205
0.0971,-17.4741,-17.4747
0.1491,-13.7518,-13.7533
0.2036,-9.8632,-9.8632
0.2607,-5.959,-5.95656
0.3205,-2.2363,-2.23231
0.3831,1.0525,1.05545
0.4487,3.5884,3.59071
0.5174,4.9722,4.9722
0.5893,4.7099,4.70723
0.6647,2.1942,2.1872
0.7436,-3.3169,-3.3232
0.8263,-12.7239,-12.731
0.9129,-27.1157,-27.1157
1.0036,-47.8022,-47.7855
1.0987,-76.3547,-76.346
1.1982,-114.651,-114.62
1.3024,-164.927,-164.876
1.4116,-229.844,-229.844
1.526,-312.553,-312.701
1.6458,-416.784,-417.159
1.7712,-546.944,-547.484
1.9026,-708.222,-708.774
2.0403,-906.73,-906.73
2.1845,-1149.65,-1147.75
2.3355,-1445.4,-1439.79
2.4936,-1803.85,-1793.6
2.6593,-2236.57,-2225.39
2.8328,-2757.07,-2757.07
3.0146,-3381.13,-3413.24
3.205,-4127.18,-4199.46
3.4044,-5016.69,-5068.28
3.6132,-6074.69,-5958.05
3.832,-7330.32,-7330.32
4.0611,-8817.47,-12482.4
4.3011,-10575.5,-33952.9
4.5525,-12650.3,-101640
4.8158,-15094.9,-225215
5.0916,-17971.1,-17971.1
5.3805,-21350.4,3.41396e+06
5.6831,-25315.7,2.51702e+07
6,-29963.2,1.32501e+08
