czas,e_temperatura,temperatura
0,2368,2368
4.736,1994.16,1742.61
9.472,1681.73,1489.45
14.208,1474,1339.26
18.944,1334.76,1235.71
23.68,1234.75,1158.21
28.416,1158.59,1097.1
33.152,1098.02,1047.13
37.888,1048.26,1005.18
42.624,1006.38,969.233
47.36,970.432,937.933
52.096,939.097,910.32
56.832,911.436,885.697
61.568,886.758,863.538
66.304,864.544,843.443
71.04,844.395,825.096
75.776,825.998,808.249
80.512,809.102,792.698
85.248,793.507,778.279
89.984,779.046,764.855
94.72,765.584,752.311
99.456,753.005,740.552
104.192,741.213,729.496
108.928,730.126,719.071
113.664,719.673,709.218
118.4,709.793,699.883
123.136,700.435,691.022
127.872,691.55,682.592
132.608,683.1,674.56
137.344,675.048,666.893
142.08,667.362,659.563
146.816,660.014,652.545
151.552,652.98,645.816
156.288,646.236,639.357
161.024,639.762,633.148
165.76,633.54,627.174
170.496,627.553,621.419
175.232,621.786,615.87
179.968,616.225,610.514
184.704,610.858,605.339
189.44,605.673,600.336
194.176,600.66,595.493
198.912,595.808,590.804
203.648,591.11,586.259
208.384,586.556,581.85
213.12,582.14,577.571
217.856,577.853,573.416
222.592,573.69,569.377
227.328,569.644,565.45
232.064,565.711,561.629
236.8,561.883,557.909
241.536,558.157,554.286
246.272,554.528,550.755
251.008,550.992,547.312
255.744,547.544,543.954
260.48,544.18,540.677
265.216,540.898,537.477
269.952,537.694,534.352
274.688,534.564,531.299
279.424,531.506,528.313
284.16,528.516,525.394
288.896,525.593,522.539
293.632,522.733,519.744
298.368,519.935,517.008
303.104,517.195,514.329
307.84,514.513,511.705
312.576,511.885,509.133
317.312,509.31,506.613
322.048,506.786,504.141
326.784,504.311,501.717
331.52,501.884,499.339
336.256,499.503,497.006
340.992,497.167,494.715
345.728,494.874,492.467
350.464,492.622,490.258
355.2,490.411,488.089
359.936,488.239,485.957
364.672,486.105,483.862
369.408,484.008,481.803
374.144,481.946,479.779
378.88,479.92,477.788
383.616,477.926,475.829
388.352,475.966,473.903
393.088,474.037,472.007
397.824,472.14,470.141
402.56,470.272,468.305
407.296,468.433,466.497
412.032,466.623,464.716
416.768,464.841,462.962
421.504,463.085,461.235
426.24,461.356,459.533
430.976,459.652,457.855
435.712,457.973,456.202
440.448,456.319,454.573
445.184,454.688,452.967
449.92,453.08,451.383
454.656,451.494,449.821
459.392,449.931,448.28
464.128,448.389,446.761
468.864,446.868,445.261
473.6,445.367,443.782
478.336,443.887,442.322
483.072,442.425,440.881
487.808,440.983,439.459
492.544,439.56,438.055
497.28,438.154,436.669
502.016,436.767,435.3
506.752,435.397,433.948
511.488,434.044,432.612
516.224,432.707,431.293
520.96,431.387,429.99
525.696,430.083,428.703
530.432,428.794,427.431
535.168,427.521,426.174
539.904,426.263,424.931
544.64,425.019,423.703
549.376,423.79,422.489
554.112,422.575,421.288
558.848,421.374,420.102
563.584,420.186,418.928
568.32,419.012,417.768
573.056,417.85,416.62
577.792,416.702,415.485
582.528,415.566,414.362
587.264,414.442,413.251
592,413.33,412.152
596.736,412.23,411.064
601.472,411.142,409.988
606.208,410.065,408.923
610.944,408.999,407.869
615.68,407.945,406.826
620.416,406.901,405.793
625.152,405.867,404.771
629.888,404.844,403.759
634.624,403.832,402.757
639.36,402.829,401.765
644.096,401.836,400.783
648.832,400.853,399.81
653.568,399.88,398.847
658.304,398.916,397.892
663.04,397.961,396.947
667.776,397.015,396.011
672.512,396.078,395.084
677.248,395.15,394.165
681.984,394.231,393.254
686.72,393.32,392.352
691.456,392.417,391.459
696.192,391.523,390.573
700.928,390.637,389.695
705.664,389.758,388.825
710.4,388.888,387.963
715.136,388.025,387.109
719.872,387.17,386.262
724.608,386.323,385.422
729.344,385.482,384.589
734.08,384.649,383.764
738.816,383.824,382.946
743.552,383.005,382.134
748.288,382.193,381.33
753.024,381.388,380.532
757.76,380.59,379.741
762.496,379.798,378.956
767.232,379.013,378.178
771.968,378.234,377.406
776.704,377.462,376.641
781.44,376.696,375.881
786.176,375.936,375.128
790.912,375.183,374.381
795.648,374.435,373.64
800.384,373.693,372.904
805.12,372.957,372.174
809.856,372.227,371.45
814.592,371.502,370.732
819.328,370.784,370.019
824.064,370.07,369.311
828.8,369.362,368.609
833.536,368.66,367.912
838.272,367.963,367.221
843.008,367.271,366.534
847.744,366.584,365.853
852.48,365.902,365.177
857.216,365.226,364.505
861.952,364.554,363.839
866.688,363.887,363.177
871.424,363.225,362.521
876.16,362.568,361.869
880.896,361.916,361.221
885.632,361.268,360.578
890.368,360.625,359.94
895.104,359.987,359.307
899.84,359.353,358.677
904.576,358.723,358.052
909.312,358.098,357.432
914.048,357.477,356.816
918.784,356.86,356.204
923.52,356.248,355.596
928.256,355.64,354.992
932.992,355.036,354.392
937.728,354.436,353.797
942.464,353.84,353.205
947.2,353.248,352.617
951.936,352.66,352.033
956.672,352.076,351.453
961.408,351.496,350.877
966.144,350.919,350.305
970.88,350.346,349.736
975.616,349.778,349.171
980.352,349.212,348.61
985.088,348.651,348.052
989.824,348.093,347.498
994.56,347.538,346.947
999.296,346.987,346.4
1004.03,346.44,345.856
1008.77,345.896,345.316
1013.5,345.355,344.779
1018.24,344.818,344.245
1022.98,344.284,343.714
1027.71,343.753,343.187
1032.45,343.226,342.663
1037.18,342.701,342.142
1041.92,342.18,341.625
1046.66,341.663,341.11
1051.39,341.148,340.599
1056.13,340.636,340.091
1060.86,340.128,339.585
1065.6,339.622,339.083
1070.34,339.119,338.583
1075.07,338.62,338.087
1079.81,338.123,337.593
1084.54,337.629,337.103
1089.28,337.139,336.615
1094.02,336.65,336.13
1098.75,336.165,335.648
1103.49,335.683,335.168
1108.22,335.203,334.691
1112.96,334.726,334.217
1117.7,334.252,333.746
1122.43,333.78,333.277
1127.17,333.311,332.811
1131.9,332.845,332.347
1136.64,332.381,331.886
1141.38,331.92,331.428
1146.11,331.461,330.972
1150.85,331.005,330.519
1155.58,330.552,330.068
1160.32,330.101,329.619
1165.06,329.652,329.173
1169.79,329.206,328.73
1174.53,328.762,328.288
1179.26,328.321,327.85
1184,327.882,327.413
1188.74,327.445,326.979
1193.47,327.01,326.547
1198.21,326.578,326.117
1202.94,326.148,325.69
1207.68,325.721,325.264
1212.42,325.296,324.842
1217.15,324.872,324.421
1221.89,324.451,324.002
1226.62,324.033,323.586
1231.36,323.616,323.171
1236.1,323.202,322.759
1240.83,322.789,322.349
1245.57,322.379,321.941
1250.3,321.971,321.535
1255.04,321.565,321.131
1259.78,321.161,320.729
1264.51,320.758,320.329
1269.25,320.358,319.931
1273.98,319.96,319.535
1278.72,319.564,319.141
1283.46,319.17,318.749
1288.19,318.778,318.359
1292.93,318.388,317.971
1297.66,317.999,317.584
1302.4,317.613,317.2
1307.14,317.228,316.817
1311.87,316.845,316.437
1316.61,316.464,316.058
1321.34,316.085,315.68
1326.08,315.708,315.305
1330.82,315.332,314.931
1335.55,314.959,314.56
1340.29,314.587,314.19
1345.02,314.217,313.821
1349.76,313.848,313.455
1354.5,313.481,313.09
1359.23,313.116,312.726
1363.97,312.753,312.365
1368.7,312.391,312.005
1373.44,312.031,311.647
1378.18,311.673,311.29
1382.91,311.316,310.935
1387.65,310.961,310.582
1392.38,310.608,310.23
1397.12,310.256,309.88
1401.86,309.906,309.531
1406.59,309.557,309.184
1411.33,309.21,308.839
1416.06,308.864,308.495
1420.8,308.52,308.153
1425.54,308.178,307.812
1430.27,307.837,307.472
1435.01,307.497,307.134
1439.74,307.159,306.798
1444.48,306.823,306.463
1449.22,306.488,306.13
1453.95,306.154,305.798
1458.69,305.822,305.467
1463.42,305.491,305.138
1468.16,305.162,304.81
1472.9,304.834,304.484
1477.63,304.508,304.159
1482.37,304.183,303.835
1487.1,303.859,303.513
1491.84,303.537,303.192
1496.58,303.216,302.873
1501.31,302.896,302.555
1506.05,302.578,302.238
1510.78,302.261,301.922
1515.52,301.945,301.608
1520.26,301.631,301.295
1524.99,301.318,300.984
1529.73,301.006,300.673
1534.46,300.696,300.364
1539.2,300.387,300.057
1543.94,300.079,299.75
1548.67,299.773,299.445
1553.41,299.467,299.141
1558.14,299.163,298.838
1562.88,298.86,298.536
1567.62,298.559,298.236
1572.35,298.258,297.937
1577.09,297.959,297.639
1581.82,297.661,297.342
1586.56,297.364,297.047
1591.3,297.068,296.752
1596.03,296.774,296.459
1600.77,296.481,296.167
1605.5,296.188,295.876
1610.24,295.897,295.586
1614.98,295.608,295.298
1619.71,295.319,295.01
1624.45,295.031,294.724
1629.18,294.745,294.438
1633.92,294.459,294.154
1638.66,294.175,293.871
1643.39,293.892,293.589
1648.13,293.61,293.308
1652.86,293.329,293.028
1657.6,293.049,292.749
1662.34,292.77,292.472
1667.07,292.492,292.195
1671.81,292.215,291.919
1676.54,291.939,291.645
1681.28,291.665,291.371
1686.02,291.391,291.098
1690.75,291.118,290.827
1695.49,290.847,290.556
1700.22,290.576,290.287
1704.96,290.307,290.018
1709.7,290.038,289.751
1714.43,289.77,289.484
1719.17,289.504,289.219
1723.9,289.238,288.954
1728.64,288.973,288.69
1733.38,288.71,288.428
1738.11,288.447,288.166
1742.85,288.185,287.905
1747.58,287.924,287.645
1752.32,287.664,287.386
1757.06,287.405,287.128
1761.79,287.147,286.871
1766.53,286.89,286.615
1771.26,286.634,286.36
1776,286.379,286.106
1780.74,286.124,285.852
1785.47,285.871,285.6
1790.21,285.618,285.348
1794.94,285.367,285.097
1799.68,285.116,284.847
1804.42,284.866,284.598
1809.15,284.617,284.35
1813.89,284.369,284.103
1818.62,284.121,283.857
1823.36,283.875,283.611
1828.1,283.629,283.366
1832.83,283.384,283.123
1837.57,283.14,282.879
1842.3,282.897,282.637
1847.04,282.655,282.396
1851.78,282.414,282.155
1856.51,282.173,281.916
1861.25,281.933,281.677
1865.98,281.694,281.439
1870.72,281.456,281.201
1875.46,281.219,280.965
1880.19,280.982,280.729
1884.93,280.746,280.494
1889.66,280.511,280.26
1894.4,280.277,280.027
1899.14,280.044,279.794
1903.87,279.811,279.562
1908.61,279.579,279.331
1913.34,279.348,279.101
1918.08,279.118,278.871
1922.82,278.888,278.643
1927.55,278.66,278.415
1932.29,278.431,278.187
1937.02,278.204,277.961
1941.76,277.978,277.735
1946.5,277.752,277.51
1951.23,277.527,277.286
1955.97,277.302,277.062
1960.7,277.078,276.839
1965.44,276.856,276.617
1970.18,276.633,276.395
1974.91,276.412,276.175
1979.65,276.191,275.955
1984.38,275.971,275.735
1989.12,275.751,275.517
1993.86,275.533,275.299
1998.59,275.315,275.081
2003.33,275.097,274.865
2008.06,274.881,274.649
2012.8,274.665,274.434
2017.54,274.449,274.219
2022.27,274.235,274.005
2027.01,274.021,273.792
2031.74,273.808,273.579
2036.48,273.595,273.367
2041.22,273.383,273.156
2045.95,273.172,272.945
2050.69,272.961,272.736
2055.42,272.751,272.526
2060.16,272.542,272.318
2064.9,272.333,272.109
2069.63,272.125,271.902
2074.37,271.917,271.695
2079.1,271.711,271.489
2083.84,271.504,271.284
2088.58,271.299,271.079
2093.31,271.094,270.874
2098.05,270.89,270.671
2102.78,270.686,270.468
2107.52,270.483,270.265
2112.26,270.28,270.063
2116.99,270.078,269.862
2121.73,269.877,269.662
2126.46,269.676,269.462
2131.2,269.476,269.262
2135.94,269.277,269.063
2140.67,269.078,268.865
2145.41,268.88,268.667
2150.14,268.682,268.47
2154.88,268.485,268.274
2159.62,268.288,268.078
2164.35,268.092,267.882
2169.09,267.897,267.687
2173.82,267.702,267.493
2178.56,267.507,267.299
2183.3,267.314,267.106
2188.03,267.121,266.914
2192.77,266.928,266.722
2197.5,266.736,266.53
2202.24,266.544,266.339
2206.98,266.353,266.149
2211.71,266.163,265.959
2216.45,265.973,265.77
2221.18,265.784,265.581
2225.92,265.595,265.393
2230.66,265.407,265.205
2235.39,265.219,265.018
2240.13,265.032,264.831
2244.86,264.845,264.645
2249.6,264.659,264.46
2254.34,264.473,264.275
2259.07,264.288,264.09
2263.81,264.104,263.906
2268.54,263.92,263.722
2273.28,263.736,263.539
2278.02,263.553,263.357
2282.75,263.37,263.175
2287.49,263.188,262.993
2292.22,263.007,262.812
2296.96,262.826,262.632
2301.7,262.645,262.452
2306.43,262.465,262.272
2311.17,262.286,262.093
2315.9,262.107,261.915
2320.64,261.928,261.737
2325.38,261.75,261.559
2330.11,261.572,261.382
2334.85,261.395,261.205
2339.58,261.219,261.029
2344.32,261.042,260.854
2349.06,260.867,260.678
2353.79,260.691,260.504
2358.53,260.517,260.33
2363.26,260.342,260.156
2368,260.169,259.982
