x,f(x),P(x),blad_abs
0,1,1.08655,0.0865497
0.015,1.01226,1.0555,0.0432443
0.03,1.01886,1.03036,0.0115034
0.045,1.01957,1.00895,0.0106235
0.06,1.0142,0.989323,0.0248724
0.075,1.00256,0.969778,0.0327791
0.09,0.984517,0.948824,0.0356931
0.105,0.959967,0.925176,0.0347909
0.12,0.928835,0.897746,0.0310891
0.135,0.891087,0.86563,0.0254573
0.15,0.846726,0.828096,0.0186301
0.165,0.795793,0.784574,0.0112189
0.18,0.73837,0.734647,0.0037233
0.195,0.674579,0.678037,0.00345779
0.21,0.604581,0.614598,0.010016
0.225,0.528582,0.544305,0.0157236
0.24,0.446823,0.467247,0.0204236
0.255,0.35959,0.383612,0.0240214
0.27,0.267208,0.293684,0.0264757
0.285,0.170039,0.19783,0.0277911
0.3,0.0684852,0.0964953,0.0280101
0.315,-0.037016,-0.00980938,0.0272066
0.33,-0.145992,-0.120512,0.0254792
0.345,-0.257936,-0.23499,0.0229453
0.36,-0.372311,-0.352576,0.0197357
0.375,-0.488553,-0.472563,0.0159897
0.39,-0.606069,-0.594219,0.0118504
0.405,-0.724244,-0.716783,0.007461
0.42,-0.842444,-0.839483,0.0029613
0.435,-0.960017,-0.961533,0.00151554
0.45,-1.0763,-1.08214,0.00584545
0.465,-1.19061,-1.20053,0.00991563
0.48,-1.30228,-1.3159,0.0136263
0.495,-1.41061,-1.4275,0.016892
0.51,-1.51493,-1.53457,0.0196426
0.525,-1.61457,-1.63639,0.0218239
0.54,-1.70886,-1.73226,0.0233977
0.555,-1.79715,-1.82149,0.024342
0.57,-1.87882,-1.90347,0.0246507
0.585,-1.95325,-1.97759,0.0243325
0.6,-2.01988,-2.04329,0.0234105
0.615,-2.07817,-2.10009,0.0219211
0.63,-2.12759,-2.1475,0.0199124
0.645,-2.1677,-2.18514,0.0174431
0.66,-2.19806,-2.21265,0.0145808
0.675,-2.21832,-2.22972,0.0114004
0.69,-2.22816,-2.23614,0.00798238
0.705,-2.22731,-2.23172,0.00441083
0.72,-2.21558,-2.21635,0.000771886
0.735,-2.19283,-2.18998,0.00284821
0.75,-2.159,-2.15263,0.00636484
0.765,-2.11408,-2.10439,0.00969669
0.78,-2.05815,-2.04539,0.0127674
0.795,-1.99136,-1.97585,0.0155072
0.81,-1.91391,-1.89606,0.0178539
0.825,-1.82611,-1.80636,0.0197548
0.84,-1.72833,-1.70716,0.021167
0.855,-1.62101,-1.59895,0.0220589
0.87,-1.50468,-1.48227,0.0224105
0.885,-1.37995,-1.35773,0.0222142
0.9,-1.24747,-1.226,0.0214748
0.915,-1.10801,-1.0878,0.0202096
0.93,-0.96238,-0.943932,0.0184483
0.945,-0.811464,-0.795231,0.0162324
0.96,-0.656215,-0.642601,0.0136146
0.975,-0.497648,-0.48699,0.010658
0.99,-0.336832,-0.329398,0.00743484
1.005,-0.174893,-0.170868,0.00402516
1.02,-0.0130021,-0.0124868,0.000515305
1.035,0.147625,0.144621,0.00300386
1.05,0.305737,0.299298,0.0064388
1.065,0.460049,0.450354,0.00969544
1.08,0.609255,0.596574,0.0126813
1.095,0.75203,0.736722,0.0153076
1.11,0.887038,0.869546,0.0174921
1.125,1.01294,0.993782,0.0191608
1.14,1.12841,1.10816,0.0202508
1.155,1.23212,1.21141,0.0207125
1.17,1.32277,1.30226,0.0205117
1.185,1.3991,1.37947,0.0196317
1.2,1.45988,1.4418,0.0180757
1.215,1.50391,1.48804,0.0158679
1.23,1.53006,1.51701,0.0130551
1.245,1.53728,1.52757,0.00970836
1.26,1.52455,1.51862,0.00592299
1.275,1.49096,1.48914,0.00181946
1.29,1.43567,1.43813,0.00245698
1.305,1.35795,1.36469,0.00673686
1.32,1.25715,1.26798,0.0108278
1.335,1.13275,1.14727,0.0145162
1.35,0.98433,1.0019,0.01757
1.365,0.811589,0.831331,0.0197419
1.38,0.614355,0.635128,0.0207733
1.395,0.392587,0.412986,0.0203992
1.41,0.146377,0.164731,0.0183542
1.425,-0.124048,-0.109669,0.0143788
1.44,-0.418318,-0.410091,0.00822754
1.455,-0.735923,-0.736246,0.000322921
1.47,-1.07621,-1.08767,0.0114637
1.485,-1.43838,-1.46372,0.0253433
1.5,-1.82149,-1.86354,0.0420552
